CORE_otu	db_id	source	ISR_len	genus	family	order	class	phylum
Acidovorax cattleyae	SEQ9938	Acidovorax sp. SD340	507	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ8680	Acidovorax sp. Leaf76	276	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ16795	Acidovorax citrulli AAC00-1	639	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ16800	Acidovorax cattleyae	638	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ16796	Acidovorax avenae subsp. avenae ATCC 19860	639	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ9937	Acidovorax sp. SD340	388	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ9049	Comamonadaceae bacterium CCH12-A10	729	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ16794	Acidovorax citrulli	640	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ8913	Acidovorax sp. CF316	575	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ16804	Comamonadaceae bacterium CCH4-C5	669	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ17016	Acidovorax sp. SD340	278	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ9411	Acidovorax sp. CF316	263	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ16806	Acidovorax sp. SD340	646	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ16807	Acidovorax soli	644	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ8939	Acidovorax citrulli	157	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ9725	Acidovorax citrulli ZJU1106	518	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ208	Acinetobacter sp. 1475718	650	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ209	Acinetobacter sp. 263903-2	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ151	Acinetobacter lactucae	645	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ440	Acinetobacter pittii	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ170	Acinetobacter nosocomialis P020	630	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ158	Acinetobacter nosocomialis	630	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ219	Acinetobacter pittii	650	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ182	Acinetobacter sp. Leaf130	661	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ200	Acinetobacter pittii	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ220	Acinetobacter pittii	650	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ413	Acinetobacter pittii	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ216	Acinetobacter pittii	643	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ217	Acinetobacter pittii ATCC 19004 = CIP 70.29	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ214	Acinetobacter pittii	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ186	Acinetobacter calcoaceticus	660	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ231	Acinetobacter pittii TG6411	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ164	Acinetobacter nosocomialis	630	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ166	Acinetobacter sp. 259052	630	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ163	Acinetobacter baumannii BIDMC 57	630	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ232	Acinetobacter sp. 1542444	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ205	Acinetobacter pittii	630	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ449	Acinetobacter sp. DUT-2	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ144	Acinetobacter pittii	578	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ179	Acinetobacter pittii ANC 4052	650	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ183	Acinetobacter calcoaceticus NIPH 13	661	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ153	Acinetobacter pittii	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ168	Acinetobacter nosocomialis	630	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ194	Acinetobacter genomosp. 33YU	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ195	Acinetobacter sp. GG2	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ155	Acinetobacter seifertii	630	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ201	Acinetobacter oleivorans DR1	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ212	Acinetobacter pittii	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ230	Acinetobacter seifertii	660	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ215	Acinetobacter pittii	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ172	Acinetobacter nosocomialis Ab22222	630	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ218	Acinetobacter baumannii 1451147	660	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ198	Acinetobacter sp. NIPH 817	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ173	Acinetobacter nosocomialis	630	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ185	Acinetobacter calcoaceticus	661	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ154	Acinetobacter pittii DSM 9306	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ161	Acinetobacter nosocomialis NIPH 2119	638	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ191	Acinetobacter pittii	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ184	Acinetobacter calcoaceticus DSM 30006 = CIP 81.8	661	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ167	Acinetobacter sp. 1592897	629	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ202	Acinetobacter sp. NIPH 542	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ162	Acinetobacter sp. 1179249	630	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ366	Acinetobacter seifertii	653	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ207	Acinetobacter pittii	650	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ197	Acinetobacter sp. NIPH 817	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ196	Acinetobacter pittii	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ448	Acinetobacter pittii	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ233	Acinetobacter sp. RUH2624	638	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ234	Acinetobacter pittii	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ193	Acinetobacter genomosp. 33YU	630	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ174	Acinetobacter baumannii BIDMC 57	638	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ227	Acinetobacter sp. 883425	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ211	Acinetobacter pittii	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ157	Acinetobacter lactucae	654	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ180	Acinetobacter sp. WC-136	640	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ150	Acinetobacter pittii	645	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ152	Acinetobacter dijkshoorniae	645	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ181	Acinetobacter calcoaceticus ANC 3680	661	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ199	Acinetobacter pittii	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ171	Acinetobacter nosocomialis	630	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ169	Acinetobacter nosocomialis	630	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ188	Acinetobacter calcoaceticus RUH2202	661	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ223	Acinetobacter sp. 742879	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ203	Acinetobacter pittii	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ159	Acinetobacter sp. 1130196	630	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ206	Acinetobacter pittii	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ235	Acinetobacter genomosp. 13TU str. NCTC 8102	638	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ221	Acinetobacter pittii	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ192	Acinetobacter seifertii	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ236	Acinetobacter nosocomialis TG21145	638	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ165	Acinetobacter baumannii BIDMC 57	638	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ187	Acinetobacter sp. yr461	663	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ148	Acinetobacter calcoaceticus	661	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ93	Acinetobacter calcoaceticus ANC 3811	652	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ225	Acinetobacter pittii	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ190	Acinetobacter genomosp. 33YU	630	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ229	Acinetobacter pittii	660	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ156	Acinetobacter pittii D499	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ160	Acinetobacter baumannii	638	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ149	Acinetobacter pittii ANC 4050	645	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ222	Acinetobacter pittii	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ224	Acinetobacter sp. 1294243	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ204	Acinetobacter pittii	642	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter calcoaceticus	SEQ189	Acinetobacter baumannii 573719	645	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter guillouiae	SEQ421	Acinetobacter guillouiae CIP 63.46	685	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter guillouiae	SEQ431	Acinetobacter bereziniae LMG 1003 = CIP 70.12	693	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter guillouiae	SEQ423	Acinetobacter bereziniae LMG 1003 = CIP 70.12	693	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter guillouiae	SEQ432	Acinetobacter bereziniae LMG 1003 = CIP 70.12	693	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter guillouiae	SEQ435	Acinetobacter guillouiae NIPH 991	644	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter guillouiae	SEQ415	Acinetobacter guillouiae CIP 63.46	616	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter guillouiae	SEQ426	Acinetobacter sp. WC-743	637	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter guillouiae	SEQ418	Acinetobacter guillouiae CIP 63.46	616	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter guillouiae	SEQ428	Acinetobacter bereziniae	637	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter guillouiae	SEQ416	Acinetobacter guillouiae CIP 63.46	616	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter guillouiae	SEQ430	Acinetobacter bereziniae LMG 1003 = CIP 70.12	636	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter guillouiae	SEQ427	Acinetobacter sp. Ag2	637	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter guillouiae	SEQ424	Acinetobacter bereziniae LMG 1003 = CIP 70.12	693	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter guillouiae	SEQ425	Acinetobacter bereziniae	636	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter guillouiae	SEQ419	Acinetobacter guillouiae NIPH 991	616	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter guillouiae	SEQ429	Acinetobacter bereziniae LMG 1003 = CIP 70.12	636	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter guillouiae	SEQ420	Acinetobacter guillouiae CIP 63.46	685	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter guillouiae	SEQ417	Acinetobacter guillouiae CIP 63.46	616	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter guillouiae	SEQ434	Acinetobacter guillouiae NIPH 991	644	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter guillouiae	SEQ422	Acinetobacter bereziniae NIPH 3	693	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter guillouiae	SEQ433	Corynebacterium striatum	643	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
Acinetobacter guillouiae	SEQ13319	Corynebacterium striatum	474	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
